station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2023-08-10 00:00:00,5,101.0,16514.0,-59.5,-87.5,M,M,113.0,28.0
KOKX,2023-08-10 00:00:00,4,100.0,16576.0,-59.7,-87.7,245.0,21,113.0,28.0
KOKX,2023-08-10 00:00:00,6,96.8,M,M,M,270.0,25,113.0,28.0
KOKX,2023-08-10 00:00:00,6,93.5,M,M,M,290.0,17,113.0,29.0
KOKX,2023-08-10 00:00:00,5,92.4,17068.0,-61.3,-89.3,285.0,13,113.0,29.0
KOKX,2023-08-10 00:00:00,6,92.1,M,M,M,280.0,13,113.0,29.0
KOKX,2023-08-10 00:00:00,6,88.3,M,M,M,270.0,24,112.0,29.0
KOKX,2023-08-10 00:00:00,5,88.0,17371.0,-60.1,-89.1,M,M,112.0,29.0
KOKX,2023-08-10 00:00:00,6,83.8,17678.0,M,M,270.0,24,112.0,29.0
KOKX,2023-08-10 00:00:00,6,82.2,M,M,M,300.0,14,112.0,29.0
KOKX,2023-08-10 00:00:00,5,81.5,17851.0,-59.3,-88.3,M,M,112.0,29.0
KOKX,2023-08-10 00:00:00,6,78.1,M,M,M,270.0,5,112.0,30.0
KOKX,2023-08-10 00:00:00,5,76.9,18214.0,-60.1,-88.1,M,M,112.0,30.0
KOKX,2023-08-10 00:00:00,6,76.1,18288.0,M,M,280.0,7,112.0,30.0
KOKX,2023-08-10 00:00:00,5,75.4,18336.0,-60.3,-88.3,M,M,112.0,30.0
KOKX,2023-08-10 00:00:00,6,74.5,M,M,M,225.0,14,112.0,30.0
KOKX,2023-08-10 00:00:00,5,73.7,18479.0,-59.5,-88.5,M,M,112.0,30.0
KOKX,2023-08-10 00:00:00,6,72.1,M,M,M,210.0,10,112.0,30.0
KOKX,2023-08-10 00:00:00,4,70.0,18802.0,-58.3,-87.3,250.0,13,112.0,30.0
KOKX,2023-08-10 00:00:00,6,68.9,18898.0,M,M,210.0,10,111.0,30.0
KOKX,2023-08-10 00:00:00,5,68.2,18966.0,-58.3,-87.3,M,M,111.0,30.0
KOKX,2023-08-10 00:00:00,6,67.6,M,M,M,255.0,9,111.0,30.0
KOKX,2023-08-10 00:00:00,6,66.5,M,M,M,245.0,10,111.0,30.0
KOKX,2023-08-10 00:00:00,6,65.7,19202.0,M,M,255.0,9,111.0,30.0
KOKX,2023-08-10 00:00:00,6,65.5,M,M,M,270.0,6,111.0,30.0
KOKX,2023-08-10 00:00:00,5,64.8,19288.0,-57.3,-87.3,M,M,111.0,30.0
KOKX,2023-08-10 00:00:00,6,64.5,M,M,M,210.0,1,111.0,30.0
KOKX,2023-08-10 00:00:00,6,62.6,19507.0,M,M,210.0,1,111.0,30.0
KOKX,2023-08-10 00:00:00,6,61.7,M,M,M,45.0,7,111.0,30.0
KOKX,2023-08-10 00:00:00,6,59.6,19812.0,M,M,45.0,7,111.0,30.0
KOKX,2023-08-10 00:00:00,6,58.9,M,M,M,180.0,3,111.0,30.0
KOKX,2023-08-10 00:00:00,6,57.9,M,M,M,175.0,7,111.0,30.0
KOKX,2023-08-10 00:00:00,6,56.8,20117.0,M,M,180.0,3,111.0,30.0
KOKX,2023-08-10 00:00:00,5,56.5,20154.0,-57.1,-86.1,M,M,111.0,30.0
KOKX,2023-08-10 00:00:00,6,55.1,M,M,M,340.0,2,111.0,30.0
KOKX,2023-08-10 00:00:00,6,54.2,20422.0,M,M,175.0,7,111.0,30.0
KOKX,2023-08-10 00:00:00,6,54.1,M,M,M,120.0,2,111.0,30.0
KOKX,2023-08-10 00:00:00,5,53.3,20523.0,-56.7,-86.7,M,M,111.0,30.0
KOKX,2023-08-10 00:00:00,6,52.3,M,M,M,335.0,1,111.0,30.0
KOKX,2023-08-10 00:00:00,6,51.4,M,M,M,220.0,3,111.0,30.0
KOKX,2023-08-10 00:00:00,4,50.0,20929.0,-55.9,-85.9,315.0,6,111.0,30.0
KOKX,2023-08-10 00:00:00,6,48.0,M,M,M,355.0,4,111.0,30.0
KOKX,2023-08-10 00:00:00,6,47.2,M,M,M,0.0,6,111.0,30.0
KOKX,2023-08-10 00:00:00,6,46.9,21336.0,M,M,340.0,8,111.0,30.0
KOKX,2023-08-10 00:00:00,6,46.5,M,M,M,10.0,10,111.0,30.0
KOKX,2023-08-10 00:00:00,6,44.7,21641.0,M,M,10.0,10,112.0,30.0
KOKX,2023-08-10 00:00:00,6,44.3,M,M,M,90.0,4,112.0,30.0
KOKX,2023-08-10 00:00:00,6,43.6,M,M,M,50.0,5,112.0,30.0
KOKX,2023-08-10 00:00:00,6,42.6,21946.0,M,M,90.0,4,112.0,30.0
KOKX,2023-08-10 00:00:00,6,42.2,M,M,M,85.0,6,112.0,30.0
KOKX,2023-08-10 00:00:00,6,39.5,M,M,M,60.0,15,112.0,30.0
KOKX,2023-08-10 00:00:00,6,37.5,M,M,M,100.0,12,112.0,30.0
KOKX,2023-08-10 00:00:00,6,36.9,22860.0,M,M,60.0,15,112.0,29.0
KOKX,2023-08-10 00:00:00,5,36.4,22951.0,-55.1,-85.1,M,M,113.0,29.0
KOKX,2023-08-10 00:00:00,6,36.1,M,M,M,55.0,15,113.0,29.0
KOKX,2023-08-10 00:00:00,5,35.5,23111.0,-55.1,-85.1,M,M,113.0,29.0
KOKX,2023-08-10 00:00:00,6,35.2,23165.0,M,M,100.0,12,113.0,29.0
KOKX,2023-08-10 00:00:00,6,34.2,M,M,M,80.0,14,113.0,29.0
KOKX,2023-08-10 00:00:00,5,33.9,23405.0,-55.1,-85.1,M,M,113.0,29.0
KOKX,2023-08-10 00:00:00,5,32.9,23596.0,-55.1,-85.1,75.0,22,113.0,29.0
KOKX,2023-08-10 00:00:00,6,31.2,M,M,M,70.0,13,114.0,29.0
KOKX,2023-08-10 00:00:00,6,30.5,24079.0,M,M,75.0,22,114.0,29.0
KOKX,2023-08-10 00:00:00,6,30.2,M,M,M,75.0,28,114.0,29.0
KOKX,2023-08-10 00:00:00,5,30.0,24188.0,-52.7,-83.7,75.0,27,114.0,29.0
KOKX,2023-08-10 00:00:00,6,29.2,M,M,M,80.0,17,114.0,28.0
KOKX,2023-08-10 00:00:00,6,29.1,24384.0,M,M,65.0,16,114.0,28.0
KOKX,2023-08-10 00:00:00,5,27.1,24849.0,-49.5,-81.5,M,M,115.0,28.0
